question,answer
هل يجوز رمي الجمار قبل صلاة الفجر,لا يجوز رمي الجمار قبل الفجر؛ يجب أن يتم الرمي في الوقت المحدد بعد الفجر
هل يجوز رمي الجمار بعد المغيب,نعم، يجوز رمي الجمار بعد غروب الشمس إذا لم يكن قد فات الوقت المحدد
ما هي أهمية رمي الجمار في الحج,رمي الجمار هو رمز للتخلص من وساوس الشيطان ويعتبر ركنا أساسيا في مناسك الحج
هل يجوز رمي الجمار عن المريض,نعم، يجوز رمي الجمار عن المريض، سواء كان المريض هو نفسه أو كان ينيب شخصا آخر لرمي الجمار عنه
هل يجوز رمي الجمار عن الطفل,نعم، يمكن للأوصياء على الأطفال رمي الجمار عنهم، ولكن الطفل لا يطلب منه الرمي
هل يجوز رمي الجمار باستخدام الحصى الصناعي,لا، يجب أن يكون الحصى طبيعيا وليس صناعيا
هل يمكن رمي الجمار بطرق غير تقليدية,لا، يجب أن يتم الرمي بالطريقة التقليدية باستخدام الحصى الطبيعي وبالترتيب المحدد
هل يجوز رمي الجمار قبل الذهاب إلى عرفة,لا، يجب رمي الجمار بعد يوم عرفة ولا يجوز رميها قبله
هل يُطلب من الحاج إحضار حصى معه,لا يطلب من الحاج إحضار الحصى، حيث يمكن جمعه في منى، ويتم تزويد الحجاج بحصى في الأماكن المخصصة
هل يمكن للرجل رمي الجمار ركضًا,نعم، يستحب للرجال الركض بين الجمرات عند رمي الجمار الصغرى والوسطى، ولكن لا يشترط ذلك
هل يمكن رمي الجمار باستخدام آلة,لا يجوز استخدام آلات أو أدوات أخرى لرمي الجمار، ويجب أن يتم الرمي باليد
هل يجب على الحاج الذهاب إلى الجمار يوميًا,نعم، يجب على الحاج الذهاب إلى الجمار يوميا من أجل رمي الحصى خلال الأيام المقررة
هل هناك عقوبة لمن ترك رمي الجمار,نعم، إذا ترك الحاج رمي الجمار عمدا دون عذر، فيجب عليه دفع فدية
هل يجب على الحاج غسل الحصى قبل رميها,لا، ليس من الواجب غسل الحصى قبل رميها، يكفي جمعها فقط
هل يجب على الحاج التوجه إلى الجمار في وقت معين,نعم، يجب على الحاج التوجه إلى الجمار في الوقت المخصص لكل يوم من أيام الرمي
هل رمي الجمار يُعتبر أحد علامات قبول الحج,نعم، يعتبر رمي الجمار أحد أركان الحج الأساسية التي تمثل الامتثال لأوامر الله والتخلص من وساوس الشيطان
ما هو الهدي في الحج,الهدي هو تقديم قربان من الحيوانات مثل الإبل أو البقر أو الغنم في موسم الحج، ويتم ذبحه في منى أو المزدلفة
ما حكم ذبح الهدي في الحج,ذبح الهدي في الحج واجب على من عليه دم واجب مثل الحاج القارن أو المتمتع
هل يمكنني ذبح الهدي في أي وقت خلال أيام التشريق,نعم، يمكن ذبح الهدي في أيام التشريق الثلاثة اليوم الحادي عشر، الثاني عشر، والثالث عشر من ذو الحجة
هل يجوز ذبح الهدي خارج منى,لا، يجب أن يتم ذبح الهدي داخل حدود منى
ما هي الأضحية,الأضحية هي ذبح حيوان غنم، بقرة، أو جمل في أيام عيد الأضحى من أجل التقرب إلى الله
هل يجوز ذبح الهدي بالأضحية,نعم، يمكن أن تكون الأضحية هديا إذا تم ذبحها بنية الهدي في الحج
ما هو الفرق بين الهدي والأضحية,الهدي خاص بالحج ويجب ذبحه في أيام التشريق، بينما الأضحية يتم ذبحها في عيد الأضحى فقط
هل يمكن تقديم الهدي بديلاً عن الصيام,نعم، يمكن للحاج الذي نوى الصيام كفارة أن يقدم الهدي بدلا من الصيام
هل يجب عليّ ذبح الهدي في الحج,نعم، إذا كنت قد أديت الحج بالطريقة المتمتع أو القارن، فإن ذبح الهدي يعتبر من الواجبات
هل يجب أن أذبح الهدي بنفسي,لا، يمكن للحاج أن يوكل شخصا آخر لذبح الهدي نيابة عنه
ما هو الهدي الذي يجب علي ذبحه إذا لم أتمكن من أداء العمرة,في حال عدم إتمام العمرة، يجب على الحاج تقديم هدي كفارة ويكون بقرة أو شاة
هل يمكن بيع الهدي بعد ذبحه,لا يجوز بيع الهدي بعد ذبحه، ويجب توزيعه على الفقراء أو المحتاجين
هل يجوز ذبح الهدي في مكان آخر غير منى,لا يجوز ذبح الهدي في مكان آخر غير منى أو المزدلفة
هل يجوز ذبح الهدي في اليوم الأول من عيد الأضحى,لا، يجب أن يتم ذبح الهدي بعد صلاة العيد من اليوم العاشر من ذو الحجة
هل يجوز للمرأة المشاركة في ذبح الهدي,نعم، يجوز للمرأة المشاركة في ذبح الهدي إذا كانت قادرة على ذلك
ما هي الحيوانات التي يمكن ذبحها كهدى,يمكن ذبح الإبل أو البقر أو الغنم كهدى
هل يُشترط أن يكون الهدي من أنواع معينة من الحيوانات,نعم، يجب أن يكون الهدي من الإبل أو البقر أو الغنم، ويجب أن تكون خالية من العيوب
هل يجوز ذبح الهدي بغير السكين,لا، يجب أن يتم الذبح باستخدام أداة حادة مثل السكين
متى يتم ذبح الهدي في أيام الحج,يتم ذبح الهدي بعد يوم عيد الأضحى اليوم العاشر من ذو الحجة، في أيام التشريق الحادي عشر والثاني عشر من ذو الحجة
هل يجب أن يكون الهدي خاليًا من العيوب,نعم، يجب أن يكون الهدي خاليا من العيوب مثل العرج أو المرض
هل يجوز للإنسان الذي لا يستطيع أداء الحج أن يذبح الهدي,نعم، يمكن للإنسان الذي لا يستطيع أداء الحج أن يذبح الهدي بنية التضحية أو الهدي في الحج
هل يجوز أن أذبح الهدي بنية الأضحية,نعم، إذا كنت قادرا على أن تجعله هديا بنية تضحية في الحج
هل يجب أن يكون الهدي مختارًا من النوع المحدد,نعم، الهدي يجب أن يكون من الإبل أو البقر أو الغنم وفقا لما هو منصوص عليه
هل يجوز ذبح الهدي في المنزل,لا يجوز ذبح الهدي في المنزل، يجب ذبحه في منى أو في المكان المخصص
هل هناك وقت محدد لذبح الهدي,نعم، يجب ذبح الهدي في أيام التشريق اليوم الحادي عشر، الثاني عشر، والثالث عشر من ذو الحجة
هل يجوز ذبح الهدي نيابة عن شخص آخر,نعم، يمكن توكيل شخص آخر لذبح الهدي نيابة عنك
هل يجوز أن أذبح الهدي بنفسي أو يجب أن يذبحه أحد المختصين,يجوز لك أن تذبح الهدي بنفسك إذا كنت قادرا على ذلك، أو يمكنك توكيل شخص آخر
هل يجوز للمرأة أن تذبح الهدي بنفسها,نعم، يمكن للمرأة أن تذبح الهدي بنفسها إذا كانت قادرة على ذلك
ما هي السن المناسبة للهدي,يجب أن يكون الهدي من الحيوانات التي تتجاوز سن السنتين إذا كانت من الإبل أو البقر، ومن سن السنة إذا كانت من الغنم
هل يجب أن يتم ذبح الهدي في نفس يوم عيد الأضحى,لا، يجب أن يتم الذبح في أيام التشريق، وليس بالضرورة في يوم عيد الأضحى
هل يجوز ذبح الهدي في المزدلفة,لا، يجب أن يتم الذبح في منى أو في مكان آخر مخصص لذلك
ما هو حكم الهدي بالنسبة للمتمتع,على المتمتع أن يذبح هديا إذا قام بأداء العمرة في موسم الحج
هل يمكنني ذبح الهدي في أول أيام التشريق,نعم، يمكن ذبح الهدي في أول أيام التشريق اليوم الحادي عشر من ذو الحجة
هل يمكنني بيع الهدي بعد ذبحه,لا يجوز بيع الهدي بعد ذبحه، بل يجب توزيعه على الفقراء
هل يجب أن يكون الهدي مسجى أو موجهًا نحو القبلة,لا، ليس من الضروري أن يكون الهدي مسجى أو موجها نحو القبلة، لكن يفضل أن يتم الذبح بطريقة صحيحة شرعا
هل يجوز ذبح الهدي في المنزل,لا، يجب أن يتم الذبح في منى أو المزدلفة وفقا للأنظمة الشرعية
ما حكم ذبح الهدي إذا لم يكن لدي أموال كافية,إذا لم يكن لديك أموال كافية لذبح الهدي، فلا يجب عليك ذلك، ويمكنك دفع الفدية إذا كان عليك دم
هل يمكنني تقديم الهدي نيابة عن شخص آخر,نعم، يمكن تقديم الهدي نيابة عن شخص آخر إذا كان بحاجة
هل يجب أن أستعين بشخص لذبح الهدي,ليس من الضروري، ولكن يمكن توكيل شخص آخر إذا كنت غير قادر على القيام بذلك
هل هناك من يوزع الهدي في مكة,نعم، توجد مؤسسات متخصصة في توزيع الهدي على الفقراء والمحتاجين
هل يجب تقديم الهدي في أيام الحج فقط,نعم، يجب تقديم الهدي في أيام الحج المحددة مثل اليوم العاشر وأيام التشريق
هل يجوز لغير الحاج ذبح الهدي,نعم، يجوز لغير الحاج أن يذبح الهدي في عيد الأضحى كأضحية
هل يوجد تحديد لعدد الحيوانات التي يجب ذبحها,نعم، يتم تحديد عدد الحيوانات حسب نوع الحج متمتع أو قارن وكل واحد من هؤلاء يحتاج إلى ذبح هدي
ما هي القيمة المالية للهدي,تختلف القيمة المالية للهدي حسب نوع الحيوان والأسعار السائدة في الوقت والمكان الذي يتم فيه الشراء
ما هو الطواف في الحج,الطواف هو الدوران حول الكعبة المشرفة في المسجد الحرام سبعة أشواط، وهو أحد أركان الحج والعمرة
هل الطواف ركن من أركان الحج,نعم، الطواف هو ركن أساسي من أركان الحج
متى يتم الطواف في الحج,يتم الطواف في بداية الحج عند الوصول إلى مكة المكرمة بعد الإحرام، كما يتم الطواف بعد أداء السعي بين الصفا والمروة
هل يجب على الحاج الطواف عند الوصول إلى مكة,نعم، يجب على الحاج أداء طواف القدوم عند الوصول إلى مكة
هل يمكن للطواف أن يكون في أي وقت خلال اليوم,نعم، يمكن أداء الطواف في أي وقت من اليوم ما عدا أوقات الصلاة المفروضة
هل يجب على المرأة أن تطوف إذا كانت حائضًا,لا يجب على المرأة الحائض أداء الطواف، ويمكنها تأجيله حتى تطهر
هل يمكن أداء الطواف نيابة عن شخص آخر,لا يجوز أداء الطواف نيابة عن شخص آخر في الحج
هل يجوز للطواف أن يكون بدلًا من الصلاة,لا، الطواف لا يعتبر بديلا عن الصلاة، فهو عبادة مستقلة
هل يجوز للطواف أن يتم في الليل,نعم، يجوز أداء الطواف في الليل
هل يجب الطواف مباشرة بعد السعي,لا، يجب الطواف بعد السعي إذا كان السعي جزءا من الحج، ولكن الطواف يمكن أن يتم في أوقات مختلفة خلال أيام الحج
هل يجب أن يكون الطواف سبعة أشواط,نعم، يجب أن يكون الطواف سبعة أشواط، ولا يتم إلا إذا اكتمل العدد
هل يُشترط للطواف أن يكون بالطواف حول الكعبة فقط,نعم، الطواف يجب أن يتم حول الكعبة المشرفة في المسجد الحرام
ما حكم الطواف إذا تم به أخطاء أو نواقص,إذا كان الطواف ناقصا، يجب إتمامه، وفي حالة الخطأ يجبر بالحج أو العمرة
هل يجب الاغتسال قبل الطواف,نعم، من السنة أن يتطهر المسلم قبل الطواف، ويفضل الاغتسال قبل الدخول إلى المسجد الحرام
هل يجوز للطواف أن يتم عبر الإنترنت أو عن بعد,لا، الطواف يجب أن يتم في مكة حول الكعبة المشرفة
هل يوجد الطواف في العمرة أيضًا,نعم، يوجد طواف في العمرة أيضا، وهو ركن أساسي مثل الطواف في الحج
هل يجب الطواف فقط للرجال أم للنساء أيضًا,نعم، يجب الطواف لكل من الرجال والنساء كجزء من مناسك الحج أو العمرة
هل يجوز للمرأة التي لم تطهر من الحيض أن تقوم بالطواف,لا يجوز للمرأة الحائض أداء الطواف حتى تطهر
هل يجب أن يكون الطواف في اتجاه عكس عقارب الساعة,نعم، يجب أن يتم الطواف حول الكعبة في اتجاه عكس عقارب الساعة
هل يمكن أداء الطواف بعد صلاة العشاء,نعم، يمكن أداء الطواف بعد صلاة العشاء أو في أي وقت غير أوقات الصلاة المفروضة
هل يُشترط للطفل أن يكون طافًا أثناء الحج,لا يشترط على الأطفال أداء الطواف إذا كانوا غير مكلفين
هل يجب على المرأة تغطية وجهها أثناء الطواف,نعم، يجب على المرأة تغطية وجهها أثناء الطواف مثلما يجب عليها في غيره من الأماكن العامة
هل يجب الطواف مرة أخرى إذا فات الطواف أثناء أيام الحج,نعم، يجب على الحاج إتمام الطواف إذا فات عليه خلال أيام الحج
هل يختلف الطواف إذا كان الشخص قارنًا أو متمتعًا,لا يختلف الطواف بين القارن والمتمتع، فكل منهما يؤدي نفس الطواف حول الكعبة
هل يجوز الطواف أثناء المطر أو الرياح,نعم، يجوز الطواف في أي حالة جوية بشرط أن يكون الآمن متاحا
هل يمكن للإنسان أن يطوف أكثر من مرة,نعم، يمكن للحاج الطواف عدة مرات كعبادة تطوعية بعد إتمام الطواف الواجب
هل يمكن للطواف أن يتم في حالة الصيام,نعم، يمكن أداء الطواف أثناء الصيام
هل يمكن الطواف إذا كان الشخص مصابًا,نعم، يمكن للمريض الطواف باستخدام وسائل الراحة مثل الكرسي المتحرك إذا كان غير قادر على الطواف مشيا
هل يجوز أداء الطواف دون القيام بالتكبير,نعم، يمكن الطواف دون التكبير، لكن يفضل أن يكون التكبير أثناء الطواف
هل يجوز الطواف إذا كنت في حالة حزن أو اضطراب,نعم، يمكن أداء الطواف حتى لو كان الشخص في حالة حزن أو اضطراب نفسي، ولكن يجب أن يكون في حالة طهارة
هل يجب الطواف بين الصفا والمروة بعد الطواف,نعم، يجب السعي بين الصفا والمروة بعد الطواف في الحج والعمرة
هل يوجد طواف عند انتهاء الحج,نعم، هناك طواف وداع عند الانتهاء من الحج
هل هناك طواف خاص للنساء,لا، الطواف متشابه بين الرجال والنساء، ولكن هناك بعض النصائح الخاصة بالنساء فيما يتعلق بالحجاب والستر
هل يجوز الطواف في الأيام التي يتطلب فيها الازدحام,نعم، يجوز الطواف حتى في الأيام التي يكون فيها ازدحام، ولكن يجب اتخاذ الحذر
هل يجب الطواف عند قدوم الحاج من المدينة,نعم، يجب على الحاج أداء طواف القدوم عند الوصول إلى مكة
هل يجوز الطواف بمساعدة شخص آخر إذا كنت غير قادر على الطواف,نعم، يمكن للحاج توكيل شخص آخر للقيام بالطواف نيابة عنه إذا كان غير قادر
هل يمكن أداء الطواف بعد صلاة الفجر,نعم، يمكن أداء الطواف بعد صلاة الفجر ولكن قبل الصلاة التالية
هل يجوز الطواف بدون تحية المسجد,نعم، يمكن الطواف دون تحية المسجد، ولكنه يفضل القيام بذلك إذا كنت في غير حالة الإحرام
هل يُشترط الطواف في صفوف معينة,لا يشترط الطواف في صفوف معينة ولكن يفضل أن يكون الطواف بشكل مرتب ومترتب
هل يجوز إتمام الطواف في الحرم بدون وضوء,لا، يجب على الشخص أن يكون في حالة طهارة وضوء لأداء الطواف
هل يجب الطواف عند العودة من منى,نعم، يجب أداء طواف الإفاضة عند العودة من منى بعد رمي الجمار
هل يمكن الطواف في أي وقت من اليوم أو يوجد مواعيد معينة,يمكن الطواف في أي وقت من اليوم أو الليل، ولكن يفضل تجنب أوقات الصلاة المفروضة
هل يجوز الطواف عند حدوث الحيض أو النفاس,لا يجوز للمرأة الحائض أو النفساء الطواف حتى تطهر
هل يجب الإحرام قبل الطواف,نعم، يجب الإحرام قبل الطواف إذا كان الشخص في أداء مناسك الحج أو العمرة
هل يجوز الطواف في حالة الضعف الجسدي,نعم، يمكن للضعيف جسديا الطواف باستخدام وسائل الدعم مثل الكرسي المتحرك أو العربات
هل يجب أن أستمر في الطواف إذا شعرت بالإرهاق,إذا شعرت بالإرهاق يمكن أخذ قسط من الراحة ثم مواصلة الطواف
هل يمكنني الطواف وحدي أو يجب أن يكون مع جماعة,يمكن للطواف أن يكون فرديا أو جماعيا، وهو ليس ملزما بأن يكون مع جماعة
ما هو الحلق والتقصير,الحلق والتقصير هما من مناسك الحج والعمرة التي يتم فيها إزالة جزء من شعر الرأس أو تقصيره كعلامة على أداء مناسك الحج
هل الحلق أفضل أم التقصير,الحلق أفضل من التقصير للرجال، أما النساء فيكتفى بتقصير جزء من الشعر فقط
متى يجب الحلق أو التقصير,يجب الحلق أو التقصير بعد إتمام مناسك السعي بين الصفا والمروة، وقبل التوجه إلى منى لأداء باقي المناسك
هل يجب الحلق أو التقصير لجميع الحجاج,نعم، يجب على جميع الحجاج الحلق أو التقصير بعد السعي
هل يجوز الحلق للمرأة,لا يجوز للمرأة أن تحلق رأسها، ولكن يجوز لها أن تقصر من شعرها بمقدار أنملة أو أقل
هل يجوز تقصير الشعر في أي مكان في الرأس,نعم، يجوز تقصير الشعر من أي مكان في الرأس بشرط أن يكون التقصير متساويا
ماذا يجب على الحاج إذا كان شعره قصيرًا,إذا كان شعر الحاج قصيرا فلا يجب عليه سوى التقصير على أي حال
هل الحلق أو التقصير شرط لصحة الحج,نعم، الحلق أو التقصير شرط لصحة الحج، ويجب أن يتم بعد إتمام السعي
هل يمكن للحاج أن يحلق أو يقصر شعره في مكة أو المدينة,يجوز للحاج الحلق أو التقصير في أي مكان في مكة أو المدينة بعد أداء السعي
هل يجوز الحلق أو التقصير قبل السعي,لا، يجب الحلق أو التقصير بعد السعي
هل يجب الحلق في الحج أم يمكن الاكتفاء بالتقصير,يمكن الاكتفاء بالتقصير، ولكن الحلق أفضل للرجال
هل يجب الحلق لكل حاج أم للرجال فقط,الحلق واجب للرجال، أما النساء فيكتفى بتقصير شعرهن
هل الحلق يؤثر على حرمات الإحرام,لا، الحلق أو التقصير لا يؤثران على حرمات الإحرام إذا تم بعد السعي
هل يجب الحلق بعد رمي الجمار,لا، الحلق يتم بعد السعي بين الصفا والمروة، وليس بعد رمي الجمار
هل يجب الحلق أو التقصير بعد طواف الإفاضة,نعم، يجب الحلق أو التقصير بعد السعي وبعد طواف الإفاضة
هل يمكن أداء الحلق أو التقصير قبل نهاية يوم النحر,نعم، يمكن أداء الحلق أو التقصير في أي وقت بعد السعي وقبل يوم النحر
هل يمكن للحاج أن يحلق شعره بنفسه,نعم، يمكن للحاج أن يحلق شعره بنفسه، ولكن من الأفضل أن يتم ذلك على يد شخص آخر
هل يجب الحلق فقط في حج التمتع,لا، الحلق أو التقصير واجب في جميع أنواع الحج التمتع، القران، والإفراد
هل يمكن للحاج أن يحلق شعره باستخدام آلة الحلاقة,نعم، يجوز للحاج استخدام آلة الحلاقة لحلق شعره
هل يُشترط أن يتم الحلق في مكان معين,لا يشترط مكان معين للحلق أو التقصير، ويمكن أن يتم في أي مكان في مكة أو المدينة
هل الحاج مطالب بالحلق إذا كان شعره طويلًا,نعم، يجب على الحاج أن يحلق أو يقصر الشعر إذا كان طويلا بعد السعي
هل يجب الحلق لكل الشعر أم يمكن تقصير جزء منه,يمكن الحاج تقصير جزء من شعره إذا لم يكن قادرا على حلقه بالكامل
هل يمكن للحاج أن يؤجل الحلق حتى عودته إلى مكة,لا، يجب أن يتم الحلق أو التقصير في نفس اليوم بعد السعي، ويكون جزءا من إتمام المناسك
هل يجوز الحلق أو التقصير في يوم العيد,نعم، يمكن للحاج الحلق أو التقصير في يوم العيد بعد السعي
هل يمكن للمرأة الحائض أو النفساء الحلق,لا، لا يجوز للمرأة الحائض أو النفساء الحلق، بل تقصر شعرها فقط
هل يجوز الحلق أو التقصير بعد السعي مباشرة,نعم، يجوز للحاج الحلق أو التقصير بعد السعي مباشرة
هل يجب الحلق أو التقصير بعد طواف الإفاضة,نعم، يجب على الحاج الحلق أو التقصير بعد طواف الإفاضة
هل يجب الحلق على الحاج الذي لا يملك شعرًا,لا يجب على الحاج الحلق أو التقصير إذا كان لا يملك شعرا
هل يجوز للحاج الذي شعره قصير جدًا أن يقصر شعره مرة أخرى,نعم، يمكن للحاج تقصير شعره مرة أخرى إذا كان طويلا
هل يجوز للمرأة الحائض أن تقوم بتقصير شعرها,نعم، يجوز للمرأة الحائض تقصير شعرها
هل يجب الحلق بعد السعي في عمرة التمتع,نعم، يجب الحلق أو التقصير بعد السعي في عمرة التمتع
هل الحلق واجب على الحاج إذا كان قد رمى الجمار,نعم، يجب الحلق أو التقصير بعد أداء السعي
هل يجوز للحاج الذي لا يستطيع الحلق بسبب مرض أن يُقصّر شعره,نعم، يجوز له تقصير الشعر في حال كان غير قادر على الحلق بسبب مرض أو عذر آخر
هل يُشترط أن يتم الحلق أو التقصير بشكل متساوٍ,نعم، يجب أن يتم الحلق أو التقصير بشكل متساو على الشعر
هل يجوز الحلق باستخدام الأدوات الحديثة مثل ماكينة الحلاقة,نعم، يجوز استخدام الأدوات الحديثة مثل ماكينة الحلاقة
هل يجوز الحلق إذا كان الحاج قد حلق شعره سابقًا,إذا كان الحاج قد حلق شعره سابقا في الحج، لا يشترط عليه إعادة الحلق إلا إذا كان قد انتهت مناسك الحج الخاصة به
هل يجوز للحاج الحلق إذا كان مُصابًا في رأسه,لا يشترط الحلق إذا كان الشخص مصابا في رأسه، ويمكنه الاكتفاء بالتقصير
هل الحلق أو التقصير يجبر الحاج على دفع شيء,لا، الحلق أو التقصير لا يتطلب دفع أي شيء إذا تم بطريقة صحيحة
هل يمكن للحاج الحلق أو التقصير بنفسه,نعم، يمكن للحاج القيام بالحلق أو التقصير بنفسه
هل يجب الحلق إذا كان الشعر قصيرًا جدًا,في حالة الشعر القصير جدا، يمكن الاكتفاء بتقصير جزء صغير من الشعر
هل يجوز التقصير للرجال,نعم، يجوز للرجال أن يقصروا شعرهم بدلا من الحلق، ولكن يفضل الحلق
هل يجب على الحاج الحلق أو التقصير إذا كانت ذقنه شديدة النمو,لا يشترط الحلق أو التقصير للذقن، فقط للشعر
هل يُشترط أن يكون الحلق في مكان معين,لا يشترط أن يكون الحلق في مكان معين، ولكن من الأفضل أن يكون في مكة
ما هو التحلل في الحج,التحلل هو الخروج من الإحرام وزوال محظوراته، ويتم على مرحلتين التحلل الأول، ثم الثاني
ما الفرق بين التحلل الأول والتحلل الثاني,التحلل الأول يرفع بعض محظورات الإحرام عدا النساء، أما التحلل الثاني فيرفع جميع المحظورات بما فيها العلاقة الزوجية
متى يكون التحلل الأول,بعد رمي جمرة العقبة يوم النحر والحلق أو التقصير، ويضاف له طواف الإفاضة في بعض الأقوال
متى يكون التحلل الثاني,بعد استكمال رمي جمرة العقبة، الحلق أو التقصير، وطواف الإفاضة مع السعي لمن عليه سعي
هل يكفي فعل واحد للتحلل الأول,اختلف العلماء، لكن القول الراجح أن رمي جمرة العقبة والحلق أو التقصير كافيان للتحلل الأول
ما هي محظورات الإحرام التي تُباح بعد التحلل الأول,يباح كل شيء إلا العلاقة الزوجية الوطء، المباشرة، عقد النكاح
هل يجوز لبس المخيط بعد التحلل الأول,نعم، يجوز لبس المخيط بعد التحلل الأول
هل يجوز التطيب بعد التحلل الأول,نعم، يباح التطيب بعد التحلل الأول
ما المحظورات التي لا تزال محرمة بعد التحلل الأول,العلاقة الزوجية فقط، وتشمل الجماع والمباشرة بشهوة
ما حكم من جامع زوجته بعد التحلل الأول وقبل الثاني,إن فعل ذلك قبل التحلل الثاني فقد أفسد حجه وعليه دم، ويجب أن يتم النسك ويعيد الحج لاحقا
هل المرأة تتحلل بالحلق,المرأة تقصر من شعرها بمقدار أنملة طرف الإصبع، ولا تحلق
هل السعي شرط في التحلل,نعم، لمن عليه سعي مثل المتمتع، فالسعي مع طواف الإفاضة شرط للتحلل الثاني
هل يمكن تأخير طواف الإفاضة لما بعد يوم النحر,نعم، لكن لا يتحلل التحلل الثاني إلا به، وكلما بادر به كان أفضل
هل يجوز تقديم بعض أعمال يوم النحر وتأخير البعض,نعم، والنبي رخص للناس في التقديم والتأخير وقال افعل ولا حرج
هل يجوز تقديم الحلق على الرمي,نعم، ويجوز تقديم الطواف على الحلق كذلك، ما دام في يوم النحر
من لم يطف طواف الإفاضة هل يتحلل,لا، لا يتحلل التحلل الثاني إلا بعد طواف الإفاضة
هل يجوز للحاج أن يتحلل كاملًا قبل السعي إذا لم يكن عليه سعي,نعم، إذا كان مفردا أو قارنا وقد سعى مع طواف القدوم، فلا يلزمه سعي آخر
هل التحلل له علاقة بطواف الوداع,لا، طواف الوداع مستقل، ويكون عند مغادرة مكة بعد نهاية المناسك
هل يجوز التحلل للحاج قبل الحلق,لا، لا يتحلل التحلل الأول إلا بعد الحلق أو التقصير
ما الفرق في التحلل بين الرجل والمرأة,كلاهما يتحللان بالترتيب نفسه، لكن المرأة لا تحلق وإنما تقصر فقط
هل الجمرات شرط في التحلل,نعم، رمي جمرة العقبة الكبرى من شروط التحلل الأول
ما حكم من نسي رمي جمرة العقبة,لا يتحلل حتى يرميها أو ينيب من يرمي عنه، فإن تركها عمدا فعليه دم
هل يمكن التحلل من الإحرام بدون نية,لا، بل لا بد من فعل يبيح التحلل كالرمي والحلق
هل يشترط الترتيب بين أعمال يوم النحر,الأفضل الترتيب، لكن لا يجب، لقول النبي افعل ولا حرج
هل هناك دعاء معين عند التحلل,لا يوجد دعاء مخصوص، لكن يستحب الذكر والدعاء العام عند الحلق أو التقصير
هل من عليه طواف وسعي للعمرة يتحلل مثله مثل الحاج,نعم، يتحلل بعد الطواف والسعي والحلق أو التقصير
هل من لم يتحلل قبل غروب الشمس يوم النحر عليه شيء,لا، لكن يستحب تعجيل التحلل في نفس اليوم
"هل التحلل الأول يُسمى ""التحلل الأصغر""",نعم، والتحلل الثاني يسمى التحلل الأكبر
هل يشترط حلق كامل الرأس للتحلل,لا، يكفي تقصير الشعر أو حلق جزء منه، لكن الحلق أفضل للرجال
ما حكم من أخر طواف الإفاضة إلى آخر أيام الحج,لا حرج عليه، لكن لا يتحلل الثاني حتى يطوف
هل يمكن الجمع بين طواف الإفاضة وطواف الوداع,نعم، عند بعض العلماء، بشرط أن يكون آخر ما يفعله قبل مغادرة مكة
هل يجوز حلق جزء من الشعر فقط,لا، يجب حلق الرأس كاملا أو تقصيره من جميع الجوانب، لا من جهة واحدة فقط
هل من نسي الحلق يُعتبر متحللًا,لا، لا يتحلل حتى يحلق أو يقصر
هل المرأة تلبس النقاب بعد التحلل الأول,نعم، بعد التحلل الأول يباح للمرأة لبس النقاب والقفازين
متى يكون الحاج متحللًا تمامًا,بعد رمي جمرة العقبة، الحلق أو التقصير، وطواف الإفاضة مع السعي إن كان عليه سعي
ما الفرق بين التحلل في الحج والعمرة,في العمرة، يتحلل المعتمر بعد الطواف والسعي والحلق أو التقصير، وليس له تحللان مثل الحج
هل هناك وقت محدد للتحلل,لا، لكن يستحب تعجيل أعمال يوم النحر، ولا يتحلل إلا بعد إتمام ما يجب
هل التأخير في التحلل يؤثر على صحة الحج,لا يؤثر، ما دام أتى بالأركان، لكن يبقى محظورات الإحرام ممنوعة حتى يتحلل
متى يلبس الحاج ثيابه العادية,بعد التحلل الأول، يجوز له لبس الثياب العادية
هل يلزم ترتيب بين الرمي والحلق والطواف,الأفضل الترتيب، لكنه غير واجب، لقوله افعل ولا حرج
هل التحلل الأول يُجزئ عن الثاني,لا، التحلل الأول يرفع بعض المحظورات فقط، والتحلل الثاني يكملها
هل إذا أتم الحاج التحلل الثاني يجوز له الجماع,نعم، بعد التحلل الثاني ترفع جميع المحظورات
متى تنتهي جميع قيود الإحرام,بعد التحلل الثاني، وتصبح كل الأمور مباحة كما قبل الإحرام
"ما المقصود بـ""التحلل الأكبر""",هو التحلل الثاني، الذي يبيح العلاقة الزوجية ويرفع كل المحظورات
هل التحلل الثاني مرتبط بالمبيت في منى,لا، المبيت نسك آخر، وليس شرطا في التحلل
هل يجوز للحاج تأخير الحلق إلى بعد طواف الإفاضة,نعم، ويجوز تقديم أحدهما على الآخر
ما الأفضل: الحلق أم التقصير,الحلق أفضل للرجال، ويدعو له النبي ثلاثا، ويكفي التقصير إذا لم يشأ الحلق
هل من ترك السعي ناسيًا بعد الطواف يتحلل,لا، يجب السعي لمن عليه سعي، وإلا لا يصح التحلل الثاني
هل من الأخطاء نية الحج لغير الله (للفخر أو الرياء),نعم، من أعظم الأخطاء أن ينوي الإنسان الحج لغير وجه الله، وهذا ينقص الأجر أو يبطله
هل يجوز التلفظ بنية الحج أو العمرة,التلفظ بالنية ليس مطلوبا، بل يكفي نية القلب، والتلفظ بها من البدع المنتشرة
هل من الخطأ رفع الصوت بالنية عند الإحرام,نعم، السنة أن يلبي لا أن يرفع صوته بنية النسك
